video,original_score,inpainted_score
AgriculturalAviation_walk_f_nm_np1_le_med_1,0.9832937215678312,0.9890695279919487
Alban_Hayoz_solo_climb_(klettern)_climb_f_nm_np1_ba_med_1,0.9914612018755998,0.9956974542404021
Alex_applauding_himself_clap_u_nm_np1_fr_med_0,0.9807139542147806,0.9854997952956892
Anna_Rawson_Driver_Practice_golf_f_nm_np1_ri_bad_0,0.9887983053482322,0.9892539375021109
Anna_Rawson_Lesson_side_by_side_golf_f_nm_np2_ba_goo_0,0.989948716954202,0.9895050602648333
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_0,0.9813733114164515,0.9800893282271732
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_1,0.9791654363986484,0.9787691485035414
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_10,0.9841218740218306,0.9822992028981573
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_11,0.9786607185776587,0.9798363005225582
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_12,0.9816042800667817,0.9835803688382971
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_14,0.9851338507563275,0.9819073070172046
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_16,0.9865510386852439,0.9811526442400177
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_18,0.9886648973491988,0.9864835529404254
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_19,0.9888604824938916,0.9894094654684079
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_2,0.9827132815805576,0.9791961673813102
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_20,0.9895684541635097,0.9845314234500119
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_21,0.9888232371317399,0.9862848784908635
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_22,0.9901877032877495,0.9891445361940054
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_23,0.9885659616946169,0.9884501510535576
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_3,0.9832133386466381,0.9807002762909003
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_4,0.9832677801979537,0.9801625232461731
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_5,0.981227721953903,0.9797313985358275
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_8,0.9805534531018393,0.978154458392414
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_9,0.9844695406233762,0.983267387657186
BaseballPitchingtarget_BaseballPitchingCage_throw_u_nm_np1_ba_med_0,0.9805545231389565,0.9804207921100762
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_11,0.9921517370142576,0.9930321446756452
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_12,0.9917896951147983,0.992560809196511
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_8,0.9911583179310783,0.9924164000728668
BaseballSwingAnalysis_swing_baseball_f_nm_np1_fr_med_9,0.9908421084708465,0.9936651806670298
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_0,0.9859007260672366,0.9857678528767833
BaseballSwingAnalysis_swing_baseball_u_nm_np1_ba_med_2,0.9825273892595314,0.9820793398832589
BaseballSwingAnalysis_swing_baseball_u_nm_np1_fr_med_10,0.9819981484786012,0.9874436242440178
BaseballSwingAnalysis_swing_baseball_u_nm_np1_fr_med_13,0.9820548416925906,0.9833167102637672
Best_Kisses_in_TV_Movies_1_3_kiss_h_nm_np2_le_goo_0,0.984014430589734,0.984294925332456
Best_Kisses_in_TV_Movies_1_3_kiss_h_nm_np2_le_goo_7,0.9836766249824644,0.9881076827897192
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_bad_4,0.9941370689365433,0.9921072418566785
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_bad_5,0.9910080429204041,0.9921245462699216
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_bad_9,0.9868828647308947,0.9867732605664699
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_goo_14,0.9856328051798559,0.9844393345372641
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_goo_15,0.9863945608375302,0.9875746874017
