video_name,fvd_score
Cocktail_Pouring_pour_u_nm_np2_ri_med_0,457.5424553264237
Shadow_of_a_Doubt_run_f_nm_np1_fr_med_16,443.46356028661694
Yoga_teachers_practice_handstand_and_backbend_variations_handstand_f_nm_np1_ri_med_4,105.34613041915318
DefensivePistolShootingTechniques_shoot_gun_u_nm_np1_fr_med_2,175.8232155813682
MeShootin2_shoot_gun_u_nm_np1_ri_med_0,283.28070470860644
Lori_Does_Desktop_Pushups_pushup_f_nm_np1_le_goo_1,323.2123417480468
Shootingarecurve_shoot_bow_u_nm_np1_fr_med_4,286.99542309893116
50_pull_ups_made_in_germany_pullup_f_nm_np1_le_med_0,286.0965806943571
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_bad_5,339.1504070325821
Best_Of_Skype_Laughter_Chain_laugh_h_nm_np1_fr_bad_9,296.3974084783254
girl_smoking_a_cigarette_smoke_h_nm_np1_fr_med_0,198.30235398943756
Hittingadouble(BXbaseball)_swing_baseball_f_nm_np1_ba_bad_3,684.3943869115666
FestivalofColors_stand_f_nm_np1_fr_med_0,171.76865580447208
show_your_smile_-)_smile_h_nm_np1_fr_med_0,582.5178858602694
FirearmsTraining_shoot_gun_u_nm_np1_ri_med_11,503.76982856046493
Smile_-]_smile_h_nm_np1_fr_goo_0,440.6762414911984
Highball_Cocktail_Drink_Recipe_pour_u_nm_np1_fr_med_0,296.96970837469536
boom_snap_clap_(challenge)_clap_u_nm_np1_fr_med_0,287.6487609017079
5_Min_Tone_Abs_Workout_2__Fitness_Training_w__Tammy_situp_f_nm_np1_le_goo_5,175.74744996780925
DefensivePistolShootingTechniques_shoot_gun_f_nm_np1_ri_med_5,200.22272563172854
Re-_Show_your_Smile!_4_smile_h_nm_np1_fr_med_0,493.1020888976275
boom-snap-clap_clap_u_nm_np1_fr_med_2,166.63538805758094
Blonde_being_brushed_brush_hair_f_nm_np2_ri_med_0,372.65174424190116
Sit_ups_and_crunch_situp_f_nm_np1_le_goo_0,177.2275870509418
Push_Ups_1_pushup_f_nm_np1_le_med_1,219.6219320125135
Iaido_13_katas_sword_exercise_f_nm_np1_fr_bad_10,169.6692144080592
Lektion_3__-_Das_Haare_b_rsten_brush_hair_h_nm_np1_fr_med_1,209.51418476747784
hittingofftee2_swing_baseball_f_nm_np1_fr_med_5,322.6162217434256
KnifeThrowing_throw_f_nm_np1_le_med_4,199.14476759565457
ArcheryFastShooting_shoot_bow_u_nm_np1_fr_med_5,241.9677437805123
Cachaca_cocktails_pour_u_nm_np1_fr_med_2,622.9678344551788
LearnToShootFromTheMaster_shoot_ball_f_nm_np1_ba_med_0,145.81633561537288
Compilationknifethrowing_throw_u_nm_np1_ba_med_13,289.8899828722266
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2,174.4015164402642
New_Orleans__best_cocktails-_Hot_Buttered_Rum_pour_u_nm_np1_fr_med_2,553.7009285442548
Anna_Rawson_Lesson_side_by_side_golf_f_nm_np2_ba_goo_0,268.4595227597498
Push_Up_Workout_--_Do_100_Total_Pushups_In_A_Row_pushup_f_nm_np1_le_med_0,272.7845664873085
Clay_sBasketballSkillz_shoot_ball_f_nm_np1_ba_med_6,246.6611290138534
