video,original_score,inpainted_score
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_le_bad_2,0.9948867655853738,0.9937943080406322
#122_Cleaning_Up_The_Beach_In_Chiba__Japan_pick_f_nm_np1_ri_bad_0,0.9919511077167634,0.9917196256912999
100_Second_Handstand_handstand_f_nm_np1_ba_bad_0,0.9844249854750181,0.9905319854004294
100_pullups_pullup_f_nm_np1_fr_med_1,0.9871585104943945,0.9860393484764979
100_pullups_pullup_f_nm_np1_fr_med_2,0.986292076464478,0.9860658290886599
100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_1,0.9895152929990487,0.9842366301691643
100_push_ups_by_a_GIRL!!!_pushup_f_nm_np1_fr_goo_2,0.9892986156330835,0.9841926453717121
100_push_ups_pushup_f_nm_np1_ri_med_0,0.9830987819578162,0.9827441084976213
100_push_ups_pushup_f_nm_np1_ri_med_1,0.9814270235931332,0.9818419337666958
100_push_ups_pushup_f_nm_np1_ri_med_2,0.9823154793668486,0.9829543244152685
103_years_old_japanese_woman__Nao_is_clapping_with_piano_music_by_beethoven_clap_u_nm_np1_fr_med_0,0.9760660984805216,0.9780422730556234
10YearOldYouthBasketballStarBaller_dribble_f_nm_np1_ba_med_17,0.98156071035775,0.9846769099051986
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_11,0.988893627942773,0.9929636340758085
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ba_med_12,0.9924480492191204,0.9942050621633376
10YearOldYouthBasketballStarBaller_shoot_ball_f_nm_np1_ri_med_15,0.9909054689099975,0.9922122586440204
10_Pull_Ups_pullup_f_nm_np1_fr_goo_0,0.9920710390734224,0.992369761941085
10_Pull_Ups_pullup_f_nm_np1_fr_goo_1,0.9931981083996791,0.9927113214279413
10_Pull_Ups_pullup_f_nm_np1_fr_goo_2,0.9927509705953175,0.9874485790781163
19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_0,0.9838612067355446,0.987407646578269
19th_Century_Cavalry_Sabre_Draw_draw_sword_u_nm_np1_fr_bad_1,0.9796353704693738,0.986179663729397
20060723sfjffjewcy_walk_f_nm_np1_fr_med_0,0.9858116491626666,0.986771767250857
20060723sfjffjewcy_walk_f_nm_np1_fr_med_1,0.9831575179097505,0.9850193182170636
20060723sfjffsomelikeitwarmed_sit_u_nm_np1_fr_goo_1,0.9677685028104457,0.9848817481245857
20_good_form_pullups_pullup_f_nm_np1_ri_goo_0,0.9952063654533857,0.99488677074772
20_good_form_pullups_pullup_f_nm_np1_ri_goo_1,0.9953835965529851,0.9952674684883065
20_good_form_pullups_pullup_f_nm_np1_ri_goo_2,0.9947444975216894,0.9947400010448623
35_pull_ups_pullup_f_nm_np1_fr_goo_0,0.9940992464464403,0.9932697346770709
35_pull_ups_pullup_f_nm_np1_fr_goo_1,0.9946665356195162,0.992427798136986
35_pull_ups_pullup_f_nm_np1_fr_goo_2,0.9926901535607155,0.993434811969711
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_0,0.9963129814390164,0.9944824114989044
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_1,0.9968575918987044,0.9948418800927511
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_3,0.996867985375457,0.9956819528213295
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_4,0.9964446296832907,0.9952587639755898
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_5,0.996772418466485,0.9950443992665412
3PointJumpShotPractice-09_21_07_shoot_ball_f_nm_np1_ri_med_6,0.9971460382778002,0.9949705081925906
50_FIRST_DATES_run_f_nm_np1_ba_med_20,0.9747057645060241,0.9801879761641508
